Question,Answer,Category
What is your return policy?,"You can return products within 7 days of delivery.",Returns
How long does delivery take?,"Delivery takes 3-5 business days.",Delivery
Do you offer cash on delivery?,"Yes, we offer cash on delivery.",Payment
How can I track my order?,"You can track your order using the tracking link sent to your email.",Delivery
What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",Payment
Can I cancel my order?,"Yes, you can cancel your order within 24 hours of placing it.",Orders
Do you ship internationally?,"Currently, we only ship within India.",Delivery
Are there any shipping charges?,"Shipping is free for orders above 500 rupees; otherwise standard charges apply.",Delivery
How do I apply a promo code?,"Enter the promo code at checkout to avail discounts.",Offers
What should I do if I received a damaged product?,"Please contact customer support within 48 hours for a replacement or refund.",Returns
How can I change my delivery address?,"You can update the delivery address before your order is shipped via your account settings.",Orders
Do you offer gift wrapping?,"Yes, gift wrapping is available at checkout for an additional charge.",Orders
How do I create an account?,"Click on 'Sign Up' and fill in your details to create an account.",Account
I forgot my password. How do I reset it?,"Click on 'Forgot Password' on the login page to reset your password.",Account
Can I pre-order products that are out of stock?,"Yes, pre-order is available for select products. Check the product page for details.",Orders
Is my personal information safe?,"Yes, we follow strict privacy policies to protect your information.",Account
Do you have a mobile app?,"Yes, our mobile app is available on both Android and iOS.",General
Can I return sale or discounted items?,"Discounted items can be returned within 7 days as per our standard policy.",Returns
Do you offer loyalty points?,"Yes, you earn loyalty points on every purchase which can be redeemed on future orders.",Offers
How do I contact customer support?,"You can reach out via email, chat, or call our support number listed on the website.",Support
Can I change the payment method after placing an order?,"Payment method cannot be changed after order confirmation.",Payment
What do I do if I never received my order?,"Contact customer support immediately with your order ID.",Support
Are your products authentic?,"Yes, all products sold on our platform are 100 percent authentic.",General
Can I exchange a product?,"Yes, products can be exchanged within 7 days of delivery.",Returns
How do I subscribe to newsletters?,"Enter your email in the subscription box at the bottom of our website to receive newsletters.",Account
